t,x,y
0.0,77,262
0.041666666666666664,77,263
0.08333333333333333,77,263
0.125,77,263
0.16666666666666666,77,265
0.20833333333333331,76,265
0.24999999999999997,76,265
0.29166666666666663,76,265
0.3333333333333333,76,265
0.375,77,265
0.4166666666666667,77,265
0.45833333333333337,77,265
0.5,77,265
0.5416666666666666,77,265
0.5833333333333333,77,265
0.6249999999999999,78,265
0.6666666666666665,78,265
0.7083333333333331,77,265
0.7499999999999998,78,265
0.7916666666666664,78,266
0.833333333333333,77,266
0.8749999999999997,78,266
0.9166666666666663,78,266
0.9583333333333329,77,265
0.9999999999999996,77,265
1.0416666666666663,77,266
1.083333333333333,78,267
1.1249999999999998,78,267
1.1666666666666665,78,268
1.2083333333333333,78,268
1.25,77,268
1.2916666666666667,77,268
1.3333333333333335,77,268
1.3750000000000002,77,268
1.416666666666667,78,269
1.4583333333333337,78,270
1.5000000000000004,79,270
1.5416666666666672,79,270
1.583333333333334,79,270
1.6250000000000007,80,270
1.6666666666666674,80,270
1.7083333333333341,80,269
1.7500000000000009,80,269
1.7916666666666676,80,270
1.8333333333333344,80,270
1.875000000000001,80,271
1.9166666666666679,80,271
1.9583333333333346,80,271
2.0000000000000013,80,271
2.041666666666668,80,271
2.0833333333333344,80,271
2.125000000000001,80,272
2.1666666666666674,80,272
2.208333333333334,81,279
2.2500000000000004,83,295
2.291666666666667,81,324
2.3333333333333335,79,364
2.375,79,364
2.4166666666666665,79,417
2.458333333333333,79,477
2.4999999999999996,78,551
2.541666666666666,79,632
2.5833333333333326,79,632
2.624999999999999,75,723
2.6666666666666656,445,25
2.708333333333332,446,25
2.7499999999999987,445,25
2.791666666666665,445,25
2.8333333333333317,81,729
2.8749999999999982,85,669
2.9166666666666647,87,619
2.9583333333333313,90,579
2.999999999999998,90,578
3.0416666666666643,94,545
3.083333333333331,98,525
3.1249999999999973,101,515
3.166666666666664,104,515
3.2083333333333304,104,515
3.249999999999997,108,526
3.2916666666666634,111,547
3.33333333333333,114,579
3.3749999999999964,117,620
3.416666666666663,117,620
3.4583333333333295,120,677
3.499999999999996,123,739
3.5416666666666625,128,813
3.583333333333329,130,888
3.6249999999999956,129,888
3.666666666666662,132,843
3.7083333333333286,134,787
3.749999999999995,137,742
3.7916666666666616,140,707
3.833333333333328,140,707
3.8749999999999947,141,680
3.916666666666661,144,664
3.9583333333333277,147,658
3.9999999999999942,150,663
4.041666666666661,150,663
4.083333333333328,152,678
4.124999999999995,155,705
4.166666666666662,158,738
4.208333333333329,161,783
4.249999999999996,161,783
4.2916666666666625,163,840
4.3333333333333295,165,888
4.3749999999999964,166,851
4.416666666666663,166,810
4.45833333333333,166,809
4.499999999999997,169,779
4.541666666666664,170,759
4.583333333333331,170,749
4.624999999999998,172,749
4.666666666666665,172,749
4.708333333333332,173,759
4.749999999999999,175,778
4.791666666666666,177,809
4.833333333333333,179,853
4.875,178,853
4.916666666666667,180,893
4.958333333333334,182,862
5.000000000000001,184,833
5.041666666666668,185,814
5.083333333333335,185,814
5.125000000000002,187,804
5.166666666666669,189,805
5.208333333333336,190,816
5.250000000000003,193,837
5.29166666666667,193,837
5.333333333333337,196,869
5.3750000000000036,196,893
5.4166666666666705,199,866
5.4583333333333375,201,847
5.500000000000004,201,847
5.541666666666671,203,838
5.583333333333338,205,839
5.625000000000005,207,850
5.666666666666672,210,872
5.708333333333339,210,872
5.750000000000006,212,893
5.791666666666673,214,874
5.83333333333334,216,863
5.875000000000007,218,862
5.916666666666674,218,862
5.958333333333341,219,870
6.000000000000008,222,887
6.041666666666675,223,889
6.083333333333342,226,879
6.125000000000009,226,879
6.166666666666676,228,878
6.208333333333343,230,885
6.25000000000001,233,894
6.291666666666677,234,886
6.333333333333344,235,885
6.375000000000011,234,886
6.416666666666678,234,895
6.458333333333345,235,892
6.5000000000000115,236,893
6.5416666666666785,237,893
6.5833333333333455,238,897
6.625000000000012,238,896
6.666666666666679,238,898
6.708333333333346,239,898
6.750000000000013,239,898
6.79166666666668,240,898
6.833333333333347,240,899
6.875000000000014,241,900
6.916666666666681,241,900
6.958333333333348,241,900
7.000000000000015,241,900
7.041666666666682,241,899
7.083333333333349,241,900
7.125000000000016,241,900
7.166666666666683,241,900
7.20833333333335,241,900
7.250000000000017,240,900
7.291666666666684,240,900
7.333333333333351,242,900
7.375000000000018,242,900
7.416666666666685,242,900
7.458333333333352,242,900
7.500000000000019,242,900
7.541666666666686,242,900
7.583333333333353,242,899
7.6250000000000195,242,900
7.6666666666666865,241,899
7.7083333333333535,241,899
