0,92,700,0
0.0416666666666666,91,701,24
0.0833333333333333,91,700,-24
0.125,92,701,24
0.166666666666667,92,702,24
0.208333333333333,92,701,-24
0.25,92,701,0
0.291666666666667,91,700,-24
0.333333333333333,91,700,0
0.375,91,698,-48
0.416666666666667,94,689,-216
0.458333333333333,97,669,-480
0.5,97,637,-768
0.583333333333333,97,595,-1008
0.625,97,540,-1320
0.666666666666667,94,477,-1512
0.708333333333333,96,398,-1896
0.75,96,311,-2088
0.833333333333333,95,216,-2280
0.875,95,105,-2664
0.916666666666666,98,0,-2520
1,96,58,1392
1.04166666666667,92,137,1896
1.08333333333333,88,209,1728
1.125,85,269,1440
1.20833333333333,82,320,1223.99999999999
1.25,79,364,1056
1.29166666666667,76,396,767.999999999999
1.33333333333333,73,416,479.999999999997
1.41666666666667,71,427,240
1.45833333333333,68,429,47.9999999999999
1.5,66,419,-240
1.625,61,353,-743.999999999995
1.66666666666667,58,311,-1008
1.70833333333333,54,258,-1272
1.75,53,198,-1439.99999999999
1.83333333333333,50,125,-1752
1.875,48,42,-1992
1.91666666666667,47,0,-1007.99999999999
1.95833333333333,46,61,1464.00000000001
2.04166666666667,44,116,1320
2.08333333333333,42,159,1032
2.125,41,186,648.000000000002
2.16666666666667,39,204,432.000000000002
2.25,36,212,192.000000000001
2.33333333333333,31,201,-288.000000000004
2.375,29,185,-383.999999999997
2.45833333333333,27,153,-768.000000000003
2.5,25,111,-1007.99999999999
2.54166666666667,23,60,-1224.00000000002
2.58333333333333,22,0,-1440.00000000001
2.66666666666667,21,18,432.000000000002
2.70833333333333,21,55,888.000000000003
2.75,20,88,792.000000000003
2.79166666666667,19,109,504.000000000002
2.875,18,121,288.000000000004
2.95833333333333,18,114,-191.999999999999
3,18,104,-240.000000000003
3.08333333333333,17,76,-672.000000000002
3.125,17,38,-912.000000000003
3.16666666666666,16,0,-912.000000000003
3.20833333333333,17,30,720.000000000003
3.29166666666666,17,55,600.000000000002
3.33333333333333,17,70,360.000000000001
3.375,18,77,168.000000000001
3.41666666666666,18,73,-96.0000000000003
3.5,19,59,-335.999999999998
3.54166666666666,22,32,-648.000000000002
3.58333333333333,22,0,-768.000000000003
3.625,24,12,287.999999999998
3.70833333333333,26,30,432.000000000002
3.75,27,37,168.000000000001
3.79166666666666,30,34,-72.0000000000003
3.83333333333333,32,23,-264.000000000001
3.91666666666666,34,0,-551.999999999996
3.95833333333333,34,3,71.9999999999995
3.99999999999999,34,15,288.000000000007
4.08333333333333,34,21,119.999999999999
4.12499999999999,33,13,-191.999999999999
4.16666666666666,33,0,-311.999999999998
4.20833333333333,35,8,191.999999999999
4.25,36,9,23.9999999999998
4.29166666666666,36,9,0
4.33333333333333,38,1,-192.000000000003
4.375,38,4,71.9999999999995
4.41666666666666,38,3,-23.9999999999998
4.45833333333333,39,2,-23.9999999999998
4.5,39,2,0
4.54166666666666,39,1,-23.9999999999998
